pwd,Print working directory,1
ls,List files and directories in current working directory,1
cd,Change current working directory,1
mkdir,Create a directory,1
rmdir,Delete a directory,1
rm,Delete a file,1
cp,Copy,1
mv,Move a file,1
ssh,"Provides the ability to launch and use multiple shell sessions from a single ssh session",2
scp,"Used to copy files between servers in a secure way.",2
man,allows users to view the reference manuals of a command or utility run,2
g++,Used for preprocessing compilation assembly and linking of source code to generate an executable file,2
gcc,GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++,2
make,compiles different program pieces and builds a final executable,2
ps,Used to list the currently running processes and their PIDs along with some other information depends on different options,2
kill,Used to terminate processes,2
top,"Provides a dynamic real-time view of the running system",2
who,"Used to get information about currently logged in user on to system",3
chmod,"Used to change the access mode of a file",3
cat,concatenate files,3
alias,Instructs the shell to replace one string with another string while executing the commands,3
chown,Used to change the file Owner or group,3
df,Used to display information related to file systems about total space and available space,3
grep,It treats the pattern as an extended regular expression and prints out the lines that match the pattern,3
echo,Used to display line of text/string that are passed as an argument,2
find,Used to find files and directories and perform subsequent operations on them,4
clear,Used to clear the terminal screen,1
diff,Used to display the differences in the files by comparing the files line by line,2
env,Used to either print environment variables. It is also used to run a utility or command in a custom environment,4
free,Displays the total amount of free space available,3